1:217 -> K: 24 | acc: 35.199999999999996
1:218 -> K: 24 | acc: 35.199999999999996
1:219 -> K: 24 | acc: 35.199999999999996
1:220 -> K: 22 | acc: 35.199999999999996
1:221 -> K: 22 | acc: 35.199999999999996
1:222 -> K: 24 | acc: 36.0
1:223 -> K: 24 | acc: 36.0
1:224 -> K: 22 | acc: 35.199999999999996
1:225 -> K: 24 | acc: 36.0
1:226 -> K: 22 | acc: 36.0
1:227 -> K: 22 | acc: 36.0
1:228 -> K: 22 | acc: 36.0
1:229 -> K: 22 | acc: 36.0
1:230 -> K: 22 | acc: 36.0
1:231 -> K: 22 | acc: 36.0
1:232 -> K: 22 | acc: 36.0
1:233 -> K: 22 | acc: 36.0
1:234 -> K: 22 | acc: 36.0
1:235 -> K: 22 | acc: 36.0
2:65 -> K: 20 | acc: 36.0
2:66 -> K: 20 | acc: 34.4
2:67 -> K: 20 | acc: 35.199999999999996
2:68 -> K: 21 | acc: 36.8
2:69 -> K: 20 | acc: 35.199999999999996
2:70 -> K: 20 | acc: 36.8
2:71 -> K: 20 | acc: 35.199999999999996
2:72 -> K: 20 | acc: 33.6
2:73 -> K: 20 | acc: 33.6
2:74 -> K: 21 | acc: 35.199999999999996
2:75 -> K: 20 | acc: 36.0
2:76 -> K: 20 | acc: 37.6
2:77 -> K: 24 | acc: 40.0
2:78 -> K: 23 | acc: 37.6
2:79 -> K: 24 | acc: 40.8
2:80 -> K: 24 | acc: 40.8
2:81 -> K: 24 | acc: 42.4
2:82 -> K: 24 | acc: 40.8
2:83 -> K: 24 | acc: 40.0
2:84 -> K: 23 | acc: 39.2
2:85 -> K: 21 | acc: 39.2
2:86 -> K: 22 | acc: 41.6
2:87 -> K: 22 | acc: 43.2
2:88 -> K: 22 | acc: 42.4
2:89 -> K: 22 | acc: 43.2
2:90 -> K: 24 | acc: 43.2
2:91 -> K: 24 | acc: 43.2
2:92 -> K: 20 | acc: 41.6
2:93 -> K: 24 | acc: 44.0
2:94 -> K: 24 | acc: 44.0
2:95 -> K: 24 | acc: 44.800000000000004
2:96 -> K: 24 | acc: 43.2
2:97 -> K: 24 | acc: 44.0
2:98 -> K: 24 | acc: 45.6
2:99 -> K: 24 | acc: 43.2
2:100 -> K: 24 | acc: 44.0
2:101 -> K: 24 | acc: 44.800000000000004
2:102 -> K: 24 | acc: 46.400000000000006
2:103 -> K: 24 | acc: 47.199999999999996
2:104 -> K: 24 | acc: 48.0
2:105 -> K: 20 | acc: 44.800000000000004
2:106 -> K: 24 | acc: 46.400000000000006
2:107 -> K: 24 | acc: 45.6
2:108 -> K: 23 | acc: 44.800000000000004
2:109 -> K: 23 | acc: 44.0
2:110 -> K: 24 | acc: 44.800000000000004
2:111 -> K: 24 | acc: 44.0
2:112 -> K: 24 | acc: 44.800000000000004
2:113 -> K: 23 | acc: 44.0
2:114 -> K: 23 | acc: 45.6
2:115 -> K: 24 | acc: 47.199999999999996
2:116 -> K: 23 | acc: 47.199999999999996
2:117 -> K: 23 | acc: 47.199999999999996
2:118 -> K: 23 | acc: 47.199999999999996
2:119 -> K: 23 | acc: 46.400000000000006
2:120 -> K: 24 | acc: 48.0
2:121 -> K: 22 | acc: 49.6
2:122 -> K: 22 | acc: 51.2
2:123 -> K: 22 | acc: 52.0
2:124 -> K: 22 | acc: 52.0
2:125 -> K: 22 | acc: 51.2
2:126 -> K: 24 | acc: 52.0
2:127 -> K: 24 | acc: 51.2
2:128 -> K: 24 | acc: 51.2
2:129 -> K: 24 | acc: 48.0
2:130 -> K: 23 | acc: 48.0
2:131 -> K: 20 | acc: 47.199999999999996
2:132 -> K: 23 | acc: 49.6
2:133 -> K: 23 | acc: 51.2
2:134 -> K: 23 | acc: 49.6
2:135 -> K: 23 | acc: 50.4
2:136 -> K: 20 | acc: 49.6
2:137 -> K: 23 | acc: 48.8
2:138 -> K: 23 | acc: 50.4
2:139 -> K: 23 | acc: 48.0
2:140 -> K: 23 | acc: 48.8
2:141 -> K: 20 | acc: 48.0
2:142 -> K: 24 | acc: 47.199999999999996
2:143 -> K: 20 | acc: 46.400000000000006
2:144 -> K: 20 | acc: 48.8
2:145 -> K: 20 | acc: 46.400000000000006
2:146 -> K: 20 | acc: 48.0
2:147 -> K: 20 | acc: 46.400000000000006
2:148 -> K: 20 | acc: 46.400000000000006
2:149 -> K: 20 | acc: 47.199999999999996
2:150 -> K: 20 | acc: 47.199999999999996
2:151 -> K: 20 | acc: 46.400000000000006
2:152 -> K: 20 | acc: 48.0
2:153 -> K: 20 | acc: 47.199999999999996
2:154 -> K: 20 | acc: 46.400000000000006
2:155 -> K: 20 | acc: 46.400000000000006
2:156 -> K: 20 | acc: 46.400000000000006
2:157 -> K: 20 | acc: 45.6
2:158 -> K: 24 | acc: 45.6
2:159 -> K: 20 | acc: 46.400000000000006
2:160 -> K: 20 | acc: 46.400000000000006
2:161 -> K: 20 | acc: 45.6
2:162 -> K: 24 | acc: 44.800000000000004
2:163 -> K: 20 | acc: 44.800000000000004
2:164 -> K: 22 | acc: 44.800000000000004
2:165 -> K: 24 | acc: 44.800000000000004
2:166 -> K: 22 | acc: 44.0
2:167 -> K: 20 | acc: 43.2
2:168 -> K: 20 | acc: 42.4
2:169 -> K: 24 | acc: 43.2
2:170 -> K: 20 | acc: 44.0
2:171 -> K: 20 | acc: 44.800000000000004
2:172 -> K: 24 | acc: 44.800000000000004
2:173 -> K: 21 | acc: 44.800000000000004
2:174 -> K: 24 | acc: 44.0
2:175 -> K: 24 | acc: 45.6
2:176 -> K: 24 | acc: 45.6
2:177 -> K: 21 | acc: 43.2
2:178 -> K: 22 | acc: 44.800000000000004
2:179 -> K: 23 | acc: 43.2
2:180 -> K: 23 | acc: 44.800000000000004
2:181 -> K: 23 | acc: 44.0
2:182 -> K: 22 | acc: 44.800000000000004
2:183 -> K: 22 | acc: 44.0
2:184 -> K: 24 | acc: 44.0
2:185 -> K: 24 | acc: 44.800000000000004
2:186 -> K: 24 | acc: 42.4
2:187 -> K: 24 | acc: 44.0
2:188 -> K: 24 | acc: 44.0
2:189 -> K: 24 | acc: 44.800000000000004
2:190 -> K: 23 | acc: 43.2
2:191 -> K: 21 | acc: 43.2
2:192 -> K: 23 | acc: 42.4
2:193 -> K: 23 | acc: 44.0
2:194 -> K: 23 | acc: 44.0
2:195 -> K: 23 | acc: 45.6
2:196 -> K: 23 | acc: 44.0
2:197 -> K: 23 | acc: 44.0
2:198 -> K: 22 | acc: 44.0
2:199 -> K: 22 | acc: 45.6
2:200 -> K: 22 | acc: 46.400000000000006
2:201 -> K: 21 | acc: 44.0
2:202 -> K: 22 | acc: 43.2
2:203 -> K: 22 | acc: 43.2
2:204 -> K: 21 | acc: 43.2
2:205 -> K: 21 | acc: 43.2
2:206 -> K: 21 | acc: 44.800000000000004
2:207 -> K: 21 | acc: 44.0
2:208 -> K: 21 | acc: 44.800000000000004
2:209 -> K: 21 | acc: 44.0
2:210 -> K: 21 | acc: 42.4
2:211 -> K: 22 | acc: 43.2
2:212 -> K: 21 | acc: 41.6
2:213 -> K: 21 | acc: 41.6
2:214 -> K: 22 | acc: 42.4
2:215 -> K: 22 | acc: 43.2
2:216 -> K: 21 | acc: 41.6
2:217 -> K: 22 | acc: 41.6
2:218 -> K: 22 | acc: 41.6
2:219 -> K: 22 | acc: 42.4
2:220 -> K: 21 | acc: 41.6
2:221 -> K: 21 | acc: 41.6
2:222 -> K: 21 | acc: 42.4
2:223 -> K: 22 | acc: 42.4
2:224 -> K: 22 | acc: 42.4
2:225 -> K: 21 | acc: 42.4
2:226 -> K: 21 | acc: 42.4
2:227 -> K: 21 | acc: 42.4
2:228 -> K: 21 | acc: 42.4
2:229 -> K: 21 | acc: 41.6
2:230 -> K: 21 | acc: 41.6
2:231 -> K: 21 | acc: 42.4
2:232 -> K: 21 | acc: 42.4
2:233 -> K: 21 | acc: 42.4
2:234 -> K: 21 | acc: 41.6
2:235 -> K: 21 | acc: 42.4
2:236 -> K: 21 | acc: 41.6
2:237 -> K: 21 | acc: 41.6
2:238 -> K: 21 | acc: 41.6
2:239 -> K: 21 | acc: 41.6
2:240 -> K: 21 | acc: 41.6
2:241 -> K: 21 | acc: 41.6
2:242 -> K: 21 | acc: 41.6
2:243 -> K: 21 | acc: 41.6
2:244 -> K: 21 | acc: 41.6
2:245 -> K: 21 | acc: 41.6
2:246 -> K: 21 | acc: 41.6
3:65 -> K: 20 | acc: 41.6
3:66 -> K: 21 | acc: 44.0
3:67 -> K: 23 | acc: 40.0
3:68 -> K: 20 | acc: 43.2
3:69 -> K: 21 | acc: 47.199999999999996
3:70 -> K: 20 | acc: 44.800000000000004
3:71 -> K: 24 | acc: 45.6
3:72 -> K: 21 | acc: 42.4
3:73 -> K: 21 | acc: 44.800000000000004
3:74 -> K: 21 | acc: 44.0
3:75 -> K: 21 | acc: 42.4
3:76 -> K: 24 | acc: 50.4
3:77 -> K: 21 | acc: 50.4
3:78 -> K: 24 | acc: 48.8
3:79 -> K: 20 | acc: 48.8
3:80 -> K: 21 | acc: 48.8
3:81 -> K: 21 | acc: 50.4
3:82 -> K: 24 | acc: 48.8
3:83 -> K: 21 | acc: 49.6
3:84 -> K: 20 | acc: 48.0
3:85 -> K: 20 | acc: 48.8
3:86 -> K: 24 | acc: 51.2
3:87 -> K: 20 | acc: 51.2
3:88 -> K: 20 | acc: 52.0
3:89 -> K: 20 | acc: 51.2
3:90 -> K: 24 | acc: 52.800000000000004
3:91 -> K: 20 | acc: 52.800000000000004
3:92 -> K: 24 | acc: 54.400000000000006
3:93 -> K: 24 | acc: 52.800000000000004
3:94 -> K: 20 | acc: 54.400000000000006
3:95 -> K: 20 | acc: 55.2
3:96 -> K: 21 | acc: 55.2
3:97 -> K: 20 | acc: 54.400000000000006
3:98 -> K: 20 | acc: 53.6
3:99 -> K: 22 | acc: 53.6
3:100 -> K: 22 | acc: 53.6
3:101 -> K: 24 | acc: 54.400000000000006
3:102 -> K: 24 | acc: 54.400000000000006
3:103 -> K: 20 | acc: 53.6
3:104 -> K: 20 | acc: 54.400000000000006
3:105 -> K: 20 | acc: 55.2
3:106 -> K: 23 | acc: 54.400000000000006
3:107 -> K: 24 | acc: 56.00000000000001
3:108 -> K: 20 | acc: 52.800000000000004
3:109 -> K: 24 | acc: 53.6
3:110 -> K: 24 | acc: 56.8
3:111 -> K: 21 | acc: 52.0
3:112 -> K: 21 | acc: 52.0
3:113 -> K: 20 | acc: 52.800000000000004
