1:65 -> K: 22 | acc: 28.000000000000004
1:66 -> K: 22 | acc: 28.799999999999997
1:67 -> K: 22 | acc: 28.799999999999997
1:68 -> K: 22 | acc: 28.000000000000004
1:69 -> K: 22 | acc: 29.599999999999998
1:70 -> K: 22 | acc: 28.799999999999997
1:71 -> K: 22 | acc: 29.599999999999998
1:72 -> K: 24 | acc: 28.799999999999997
1:73 -> K: 24 | acc: 28.799999999999997
1:74 -> K: 22 | acc: 28.799999999999997
1:75 -> K: 22 | acc: 28.799999999999997
1:76 -> K: 22 | acc: 28.799999999999997
1:77 -> K: 22 | acc: 28.799999999999997
1:78 -> K: 22 | acc: 28.799999999999997
1:79 -> K: 22 | acc: 28.799999999999997
1:80 -> K: 21 | acc: 28.799999999999997
1:81 -> K: 22 | acc: 28.799999999999997
1:82 -> K: 22 | acc: 28.799999999999997
2:65 -> K: 22 | acc: 28.799999999999997
2:66 -> K: 23 | acc: 28.799999999999997
2:67 -> K: 22 | acc: 28.799999999999997
2:68 -> K: 23 | acc: 29.599999999999998
2:69 -> K: 23 | acc: 29.599999999999998
2:70 -> K: 23 | acc: 28.799999999999997
2:71 -> K: 23 | acc: 29.599999999999998
2:72 -> K: 23 | acc: 29.599999999999998
2:73 -> K: 23 | acc: 29.599999999999998
2:74 -> K: 21 | acc: 28.799999999999997
2:75 -> K: 23 | acc: 28.799999999999997
2:76 -> K: 23 | acc: 29.599999999999998
2:77 -> K: 23 | acc: 29.599999999999998
2:78 -> K: 23 | acc: 29.599999999999998
2:79 -> K: 23 | acc: 28.799999999999997
2:80 -> K: 23 | acc: 28.799999999999997
2:81 -> K: 23 | acc: 28.799999999999997
2:82 -> K: 23 | acc: 29.599999999999998
2:83 -> K: 23 | acc: 28.799999999999997
2:84 -> K: 23 | acc: 28.799999999999997
2:85 -> K: 23 | acc: 29.599999999999998
2:86 -> K: 24 | acc: 28.799999999999997
2:87 -> K: 24 | acc: 28.799999999999997
2:88 -> K: 23 | acc: 29.599999999999998
2:89 -> K: 24 | acc: 29.599999999999998
2:90 -> K: 24 | acc: 29.599999999999998
2:91 -> K: 24 | acc: 30.4
2:92 -> K: 24 | acc: 30.4
2:93 -> K: 24 | acc: 30.4
2:94 -> K: 24 | acc: 29.599999999999998
2:95 -> K: 24 | acc: 30.4
2:96 -> K: 23 | acc: 30.4
2:97 -> K: 23 | acc: 29.599999999999998
2:98 -> K: 23 | acc: 30.4
2:99 -> K: 24 | acc: 30.4
2:100 -> K: 24 | acc: 30.4
2:101 -> K: 24 | acc: 29.599999999999998
2:102 -> K: 24 | acc: 29.599999999999998
2:103 -> K: 24 | acc: 28.799999999999997
2:104 -> K: 24 | acc: 28.799999999999997
2:105 -> K: 24 | acc: 28.799999999999997
2:106 -> K: 24 | acc: 28.799999999999997
2:107 -> K: 24 | acc: 28.799999999999997
2:108 -> K: 24 | acc: 28.799999999999997
2:109 -> K: 24 | acc: 28.799999999999997
2:110 -> K: 22 | acc: 28.000000000000004
2:111 -> K: 20 | acc: 28.000000000000004
2:112 -> K: 23 | acc: 28.799999999999997
2:113 -> K: 23 | acc: 29.599999999999998
2:114 -> K: 23 | acc: 29.599999999999998
2:115 -> K: 23 | acc: 30.4
2:116 -> K: 23 | acc: 30.4
2:117 -> K: 23 | acc: 30.4
2:118 -> K: 23 | acc: 30.4
2:119 -> K: 23 | acc: 30.4
2:120 -> K: 23 | acc: 30.4
2:121 -> K: 23 | acc: 30.4
2:122 -> K: 23 | acc: 30.4
2:123 -> K: 23 | acc: 30.4
2:124 -> K: 23 | acc: 30.4
2:125 -> K: 23 | acc: 30.4
3:65 -> K: 22 | acc: 26.400000000000002
3:66 -> K: 22 | acc: 26.400000000000002
3:67 -> K: 22 | acc: 27.200000000000003
3:68 -> K: 22 | acc: 27.200000000000003
3:69 -> K: 22 | acc: 27.200000000000003
3:70 -> K: 22 | acc: 27.200000000000003
3:71 -> K: 22 | acc: 27.200000000000003
3:72 -> K: 22 | acc: 26.400000000000002
3:73 -> K: 22 | acc: 27.200000000000003
3:74 -> K: 22 | acc: 27.200000000000003
3:75 -> K: 22 | acc: 27.200000000000003
3:76 -> K: 22 | acc: 28.000000000000004
3:77 -> K: 22 | acc: 28.000000000000004
3:78 -> K: 22 | acc: 28.000000000000004
3:79 -> K: 22 | acc: 28.000000000000004
3:80 -> K: 22 | acc: 28.799999999999997
3:81 -> K: 22 | acc: 28.000000000000004
3:82 -> K: 22 | acc: 26.400000000000002
3:83 -> K: 22 | acc: 27.200000000000003
3:84 -> K: 22 | acc: 28.000000000000004
3:85 -> K: 22 | acc: 27.200000000000003
3:86 -> K: 21 | acc: 26.400000000000002
3:87 -> K: 22 | acc: 28.000000000000004
3:88 -> K: 21 | acc: 27.200000000000003
3:89 -> K: 22 | acc: 28.799999999999997
3:90 -> K: 21 | acc: 25.6
3:91 -> K: 22 | acc: 27.200000000000003
3:92 -> K: 21 | acc: 27.200000000000003
3:93 -> K: 22 | acc: 27.200000000000003
3:94 -> K: 22 | acc: 27.200000000000003
3:95 -> K: 22 | acc: 28.799999999999997
3:96 -> K: 22 | acc: 28.799999999999997
3:97 -> K: 21 | acc: 26.400000000000002
3:98 -> K: 21 | acc: 26.400000000000002
3:99 -> K: 22 | acc: 26.400000000000002
3:100 -> K: 24 | acc: 27.200000000000003
3:101 -> K: 24 | acc: 27.200000000000003
3:102 -> K: 24 | acc: 28.000000000000004
3:103 -> K: 24 | acc: 28.000000000000004
3:104 -> K: 20 | acc: 26.400000000000002
3:105 -> K: 20 | acc: 27.200000000000003
3:106 -> K: 20 | acc: 26.400000000000002
3:107 -> K: 20 | acc: 26.400000000000002
3:108 -> K: 20 | acc: 26.400000000000002
3:109 -> K: 20 | acc: 26.400000000000002
3:110 -> K: 20 | acc: 26.400000000000002
3:111 -> K: 20 | acc: 26.400000000000002
3:112 -> K: 20 | acc: 26.400000000000002
3:113 -> K: 22 | acc: 28.000000000000004
3:114 -> K: 20 | acc: 27.200000000000003
3:115 -> K: 22 | acc: 28.000000000000004
3:116 -> K: 20 | acc: 28.000000000000004
3:117 -> K: 20 | acc: 28.000000000000004
3:118 -> K: 20 | acc: 28.000000000000004
3:119 -> K: 20 | acc: 28.000000000000004
3:120 -> K: 20 | acc: 28.000000000000004
3:121 -> K: 20 | acc: 28.000000000000004
3:122 -> K: 20 | acc: 28.000000000000004
3:123 -> K: 20 | acc: 27.200000000000003
3:124 -> K: 21 | acc: 28.000000000000004
3:125 -> K: 21 | acc: 28.000000000000004
3:126 -> K: 21 | acc: 28.000000000000004
3:127 -> K: 21 | acc: 28.000000000000004
3:128 -> K: 24 | acc: 29.599999999999998
3:129 -> K: 24 | acc: 29.599999999999998
3:130 -> K: 20 | acc: 29.599999999999998
3:131 -> K: 20 | acc: 28.799999999999997
3:132 -> K: 24 | acc: 28.799999999999997
3:133 -> K: 20 | acc: 28.799999999999997
3:134 -> K: 20 | acc: 28.799999999999997
3:135 -> K: 20 | acc: 28.799999999999997
3:136 -> K: 20 | acc: 28.799999999999997
3:137 -> K: 20 | acc: 28.799999999999997
3:138 -> K: 24 | acc: 28.799999999999997
3:139 -> K: 20 | acc: 28.799999999999997
3:140 -> K: 24 | acc: 28.799999999999997
3:141 -> K: 20 | acc: 28.799999999999997
4:65 -> K: 20 | acc: 26.400000000000002
4:66 -> K: 20 | acc: 26.400000000000002
4:67 -> K: 20 | acc: 27.200000000000003
4:68 -> K: 20 | acc: 28.799999999999997
4:69 -> K: 20 | acc: 29.599999999999998
4:70 -> K: 20 | acc: 30.4
4:71 -> K: 20 | acc: 29.599999999999998
4:72 -> K: 20 | acc: 28.000000000000004
4:73 -> K: 20 | acc: 28.799999999999997
4:74 -> K: 20 | acc: 27.200000000000003
4:75 -> K: 20 | acc: 26.400000000000002
4:76 -> K: 24 | acc: 27.200000000000003
4:77 -> K: 24 | acc: 27.200000000000003
4:78 -> K: 20 | acc: 28.000000000000004
4:79 -> K: 20 | acc: 27.200000000000003
4:80 -> K: 20 | acc: 26.400000000000002
4:81 -> K: 20 | acc: 28.000000000000004
4:82 -> K: 20 | acc: 28.000000000000004
4:83 -> K: 20 | acc: 27.200000000000003
4:84 -> K: 20 | acc: 29.599999999999998
4:85 -> K: 20 | acc: 29.599999999999998
4:86 -> K: 20 | acc: 28.000000000000004
4:87 -> K: 20 | acc: 28.000000000000004
4:88 -> K: 20 | acc: 29.599999999999998
4:89 -> K: 20 | acc: 31.2
4:90 -> K: 20 | acc: 30.4
4:91 -> K: 20 | acc: 32.800000000000004
4:92 -> K: 20 | acc: 31.2
4:93 -> K: 20 | acc: 33.6
4:94 -> K: 20 | acc: 33.6
4:95 -> K: 20 | acc: 33.6
4:96 -> K: 20 | acc: 30.4
4:97 -> K: 20 | acc: 32.0
4:98 -> K: 20 | acc: 32.0
4:99 -> K: 20 | acc: 32.0
4:100 -> K: 20 | acc: 32.800000000000004
4:101 -> K: 20 | acc: 36.0
4:102 -> K: 20 | acc: 35.199999999999996
4:103 -> K: 20 | acc: 34.4
4:104 -> K: 20 | acc: 35.199999999999996
4:105 -> K: 20 | acc: 34.4
4:106 -> K: 20 | acc: 32.800000000000004
4:107 -> K: 20 | acc: 32.0
4:108 -> K: 20 | acc: 31.2
4:109 -> K: 20 | acc: 32.800000000000004
4:110 -> K: 20 | acc: 32.800000000000004
4:111 -> K: 20 | acc: 32.800000000000004
4:112 -> K: 20 | acc: 32.800000000000004
4:113 -> K: 20 | acc: 32.0
4:114 -> K: 20 | acc: 32.800000000000004
4:115 -> K: 20 | acc: 32.800000000000004
4:116 -> K: 20 | acc: 37.6
4:117 -> K: 20 | acc: 34.4
4:118 -> K: 20 | acc: 36.0
4:119 -> K: 20 | acc: 36.0
4:120 -> K: 20 | acc: 36.8
4:121 -> K: 20 | acc: 36.0
4:122 -> K: 20 | acc: 36.8
4:123 -> K: 20 | acc: 36.0
4:124 -> K: 20 | acc: 36.0
4:125 -> K: 20 | acc: 36.0
4:126 -> K: 20 | acc: 34.4
4:127 -> K: 20 | acc: 35.199999999999996
4:128 -> K: 20 | acc: 36.0
4:129 -> K: 20 | acc: 36.0
4:130 -> K: 20 | acc: 36.0
4:131 -> K: 20 | acc: 36.0
4:132 -> K: 20 | acc: 36.0
4:133 -> K: 20 | acc: 34.4
4:134 -> K: 20 | acc: 34.4
4:135 -> K: 20 | acc: 34.4
4:136 -> K: 20 | acc: 35.199999999999996
4:137 -> K: 20 | acc: 35.199999999999996
4:138 -> K: 20 | acc: 32.800000000000004
4:139 -> K: 20 | acc: 35.199999999999996
4:140 -> K: 20 | acc: 36.8
4:141 -> K: 20 | acc: 35.199999999999996
4:142 -> K: 20 | acc: 35.199999999999996
4:143 -> K: 20 | acc: 36.0
4:144 -> K: 20 | acc: 36.0
4:145 -> K: 20 | acc: 36.8
4:146 -> K: 20 | acc: 35.199999999999996
4:147 -> K: 20 | acc: 35.199999999999996
4:148 -> K: 20 | acc: 35.199999999999996
4:149 -> K: 20 | acc: 36.0
4:150 -> K: 20 | acc: 34.4
4:151 -> K: 20 | acc: 37.6
4:152 -> K: 20 | acc: 38.4
4:153 -> K: 20 | acc: 38.4
4:154 -> K: 20 | acc: 38.4
4:155 -> K: 20 | acc: 39.2
4:156 -> K: 20 | acc: 38.4
4:157 -> K: 20 | acc: 37.6
4:158 -> K: 20 | acc: 36.8
4:159 -> K: 20 | acc: 36.0
4:160 -> K: 20 | acc: 36.0
4:161 -> K: 20 | acc: 35.199999999999996
4:162 -> K: 20 | acc: 33.6
4:163 -> K: 20 | acc: 36.0
4:164 -> K: 22 | acc: 35.199999999999996
4:165 -> K: 20 | acc: 34.4
4:166 -> K: 20 | acc: 33.6
4:167 -> K: 22 | acc: 33.6
4:168 -> K: 20 | acc: 33.6
4:169 -> K: 20 | acc: 34.4
4:170 -> K: 20 | acc: 33.6
4:171 -> K: 20 | acc: 33.6
4:172 -> K: 20 | acc: 33.6
4:173 -> K: 23 | acc: 34.4
4:174 -> K: 20 | acc: 33.6
4:175 -> K: 20 | acc: 34.4
4:176 -> K: 20 | acc: 35.199999999999996
4:177 -> K: 20 | acc: 36.8
4:178 -> K: 20 | acc: 34.4
4:179 -> K: 20 | acc: 35.199999999999996
4:180 -> K: 20 | acc: 35.199999999999996
4:181 -> K: 20 | acc: 34.4
4:182 -> K: 20 | acc: 34.4
4:183 -> K: 20 | acc: 34.4
4:184 -> K: 20 | acc: 35.199999999999996
4:185 -> K: 20 | acc: 35.199999999999996
4:186 -> K: 20 | acc: 34.4
4:187 -> K: 20 | acc: 34.4
4:188 -> K: 20 | acc: 33.6
4:189 -> K: 20 | acc: 34.4
4:190 -> K: 20 | acc: 34.4
4:191 -> K: 20 | acc: 34.4
4:192 -> K: 20 | acc: 32.800000000000004
4:193 -> K: 20 | acc: 33.6
4:194 -> K: 21 | acc: 32.800000000000004
4:195 -> K: 20 | acc: 34.4
4:196 -> K: 20 | acc: 32.800000000000004
4:197 -> K: 20 | acc: 32.800000000000004
4:198 -> K: 20 | acc: 32.800000000000004
4:199 -> K: 20 | acc: 32.800000000000004
4:200 -> K: 20 | acc: 32.800000000000004
4:201 -> K: 20 | acc: 32.800000000000004
4:202 -> K: 20 | acc: 32.800000000000004
4:203 -> K: 20 | acc: 32.0
4:204 -> K: 21 | acc: 32.0
4:205 -> K: 20 | acc: 32.800000000000004
4:206 -> K: 20 | acc: 32.0
4:207 -> K: 20 | acc: 33.6
