1:65 -> K: 21 | acc: 31.2
1:66 -> K: 21 | acc: 30.4
1:67 -> K: 20 | acc: 31.2
1:68 -> K: 20 | acc: 30.4
1:69 -> K: 20 | acc: 32.0
1:70 -> K: 20 | acc: 31.2
1:71 -> K: 20 | acc: 29.599999999999998
1:72 -> K: 21 | acc: 30.4
1:73 -> K: 21 | acc: 30.4
1:74 -> K: 20 | acc: 30.4
1:75 -> K: 20 | acc: 31.2
1:76 -> K: 23 | acc: 35.199999999999996
1:77 -> K: 20 | acc: 35.199999999999996
1:78 -> K: 20 | acc: 34.4
1:79 -> K: 20 | acc: 35.199999999999996
1:80 -> K: 20 | acc: 34.4
1:81 -> K: 20 | acc: 35.199999999999996
1:82 -> K: 20 | acc: 34.4
1:83 -> K: 20 | acc: 34.4
1:84 -> K: 20 | acc: 36.0
1:85 -> K: 20 | acc: 35.199999999999996
1:86 -> K: 20 | acc: 35.199999999999996
1:87 -> K: 21 | acc: 36.0
1:88 -> K: 21 | acc: 35.199999999999996
1:89 -> K: 21 | acc: 35.199999999999996
1:90 -> K: 20 | acc: 35.199999999999996
1:91 -> K: 21 | acc: 35.199999999999996
1:92 -> K: 21 | acc: 36.0
1:93 -> K: 21 | acc: 36.0
1:94 -> K: 21 | acc: 36.0
1:95 -> K: 21 | acc: 35.199999999999996
1:96 -> K: 20 | acc: 35.199999999999996
1:97 -> K: 20 | acc: 35.199999999999996
1:98 -> K: 20 | acc: 35.199999999999996
1:99 -> K: 20 | acc: 35.199999999999996
1:100 -> K: 20 | acc: 36.0
1:101 -> K: 20 | acc: 36.0
1:102 -> K: 20 | acc: 36.0
1:103 -> K: 20 | acc: 36.0
1:104 -> K: 20 | acc: 36.0
1:105 -> K: 20 | acc: 36.0
1:106 -> K: 20 | acc: 36.0
1:107 -> K: 20 | acc: 36.0
1:108 -> K: 20 | acc: 36.0
1:109 -> K: 21 | acc: 36.8
1:110 -> K: 20 | acc: 36.8
1:111 -> K: 20 | acc: 36.0
1:112 -> K: 20 | acc: 36.8
1:113 -> K: 20 | acc: 35.199999999999996
1:114 -> K: 20 | acc: 36.0
1:115 -> K: 20 | acc: 36.0
1:116 -> K: 20 | acc: 36.0
1:117 -> K: 20 | acc: 36.0
1:118 -> K: 20 | acc: 36.8
1:119 -> K: 20 | acc: 36.0
1:120 -> K: 20 | acc: 36.0
1:121 -> K: 20 | acc: 36.8
1:122 -> K: 20 | acc: 38.4
1:123 -> K: 20 | acc: 37.6
1:124 -> K: 20 | acc: 37.6
1:125 -> K: 20 | acc: 37.6
1:126 -> K: 20 | acc: 37.6
1:127 -> K: 20 | acc: 37.6
1:128 -> K: 20 | acc: 36.0
1:129 -> K: 20 | acc: 36.0
1:130 -> K: 21 | acc: 36.0
1:131 -> K: 21 | acc: 37.6
1:132 -> K: 20 | acc: 36.8
1:133 -> K: 21 | acc: 37.6
1:134 -> K: 23 | acc: 37.6
1:135 -> K: 20 | acc: 36.8
1:136 -> K: 20 | acc: 37.6
1:137 -> K: 20 | acc: 36.0
1:138 -> K: 20 | acc: 36.8
1:139 -> K: 20 | acc: 38.4
1:140 -> K: 20 | acc: 37.6
1:141 -> K: 20 | acc: 37.6
1:142 -> K: 20 | acc: 38.4
1:143 -> K: 20 | acc: 38.4
1:144 -> K: 20 | acc: 36.8
1:145 -> K: 20 | acc: 36.8
1:146 -> K: 20 | acc: 36.8
1:147 -> K: 20 | acc: 37.6
1:148 -> K: 20 | acc: 37.6
1:149 -> K: 20 | acc: 37.6
1:150 -> K: 20 | acc: 36.0
1:151 -> K: 23 | acc: 36.0
1:152 -> K: 20 | acc: 33.6
1:153 -> K: 23 | acc: 34.4
1:154 -> K: 22 | acc: 34.4
1:155 -> K: 22 | acc: 35.199999999999996
1:156 -> K: 23 | acc: 35.199999999999996
1:157 -> K: 22 | acc: 34.4
1:158 -> K: 20 | acc: 34.4
1:159 -> K: 20 | acc: 35.199999999999996
1:160 -> K: 20 | acc: 34.4
1:161 -> K: 23 | acc: 35.199999999999996
1:162 -> K: 23 | acc: 36.8
1:163 -> K: 23 | acc: 36.0
1:164 -> K: 23 | acc: 36.0
1:165 -> K: 23 | acc: 36.0
1:166 -> K: 21 | acc: 35.199999999999996
1:167 -> K: 21 | acc: 35.199999999999996
1:168 -> K: 21 | acc: 36.0
1:169 -> K: 21 | acc: 35.199999999999996
1:170 -> K: 20 | acc: 35.199999999999996
1:171 -> K: 21 | acc: 35.199999999999996
1:172 -> K: 21 | acc: 36.0
1:173 -> K: 21 | acc: 36.8
1:174 -> K: 21 | acc: 37.6
1:175 -> K: 21 | acc: 37.6
1:176 -> K: 21 | acc: 37.6
1:177 -> K: 21 | acc: 37.6
1:178 -> K: 20 | acc: 36.8
1:179 -> K: 21 | acc: 37.6
1:180 -> K: 21 | acc: 37.6
1:181 -> K: 21 | acc: 38.4
1:182 -> K: 21 | acc: 37.6
1:183 -> K: 21 | acc: 37.6
1:184 -> K: 21 | acc: 37.6
1:185 -> K: 21 | acc: 37.6
1:186 -> K: 21 | acc: 37.6
1:187 -> K: 21 | acc: 37.6
1:188 -> K: 21 | acc: 37.6
1:189 -> K: 21 | acc: 37.6
1:190 -> K: 21 | acc: 37.6
1:191 -> K: 21 | acc: 36.8
1:192 -> K: 21 | acc: 37.6
1:193 -> K: 21 | acc: 37.6
1:194 -> K: 21 | acc: 39.2
1:195 -> K: 21 | acc: 39.2
1:196 -> K: 21 | acc: 38.4
1:197 -> K: 21 | acc: 39.2
1:198 -> K: 21 | acc: 38.4
1:199 -> K: 21 | acc: 38.4
1:200 -> K: 21 | acc: 38.4
1:201 -> K: 21 | acc: 39.2
1:202 -> K: 21 | acc: 39.2
1:203 -> K: 21 | acc: 38.4
1:204 -> K: 21 | acc: 38.4
1:205 -> K: 21 | acc: 38.4
1:206 -> K: 21 | acc: 38.4
1:207 -> K: 21 | acc: 38.4
1:208 -> K: 21 | acc: 38.4
1:209 -> K: 21 | acc: 38.4
1:210 -> K: 21 | acc: 38.4
1:211 -> K: 21 | acc: 38.4
1:212 -> K: 21 | acc: 38.4
1:213 -> K: 21 | acc: 38.4
2:65 -> K: 22 | acc: 40.8
2:66 -> K: 22 | acc: 40.8
2:67 -> K: 23 | acc: 40.8
2:68 -> K: 23 | acc: 41.6
2:69 -> K: 23 | acc: 41.6
2:70 -> K: 23 | acc: 40.8
2:71 -> K: 23 | acc: 40.0
2:72 -> K: 21 | acc: 40.0
2:73 -> K: 21 | acc: 40.8
2:74 -> K: 21 | acc: 40.8
2:75 -> K: 20 | acc: 41.6
2:76 -> K: 20 | acc: 47.199999999999996
2:77 -> K: 21 | acc: 48.0
2:78 -> K: 21 | acc: 48.0
2:79 -> K: 21 | acc: 48.8
2:80 -> K: 21 | acc: 48.8
2:81 -> K: 21 | acc: 48.0
2:82 -> K: 21 | acc: 47.199999999999996
2:83 -> K: 21 | acc: 47.199999999999996
2:84 -> K: 21 | acc: 48.8
2:85 -> K: 20 | acc: 48.8
2:86 -> K: 21 | acc: 51.2
2:87 -> K: 21 | acc: 51.2
2:88 -> K: 21 | acc: 52.0
2:89 -> K: 20 | acc: 51.2
2:90 -> K: 20 | acc: 50.4
2:91 -> K: 20 | acc: 50.4
2:92 -> K: 21 | acc: 51.2
2:93 -> K: 21 | acc: 52.0
2:94 -> K: 23 | acc: 51.2
2:95 -> K: 20 | acc: 51.2
2:96 -> K: 23 | acc: 52.0
2:97 -> K: 23 | acc: 51.2
2:98 -> K: 22 | acc: 51.2
2:99 -> K: 21 | acc: 52.0
2:100 -> K: 21 | acc: 50.4
2:101 -> K: 21 | acc: 51.2
2:102 -> K: 21 | acc: 52.800000000000004
2:103 -> K: 21 | acc: 51.2
2:104 -> K: 21 | acc: 50.4
2:105 -> K: 20 | acc: 49.6
2:106 -> K: 24 | acc: 51.2
2:107 -> K: 23 | acc: 49.6
2:108 -> K: 23 | acc: 49.6
2:109 -> K: 21 | acc: 48.0
2:110 -> K: 24 | acc: 48.8
2:111 -> K: 24 | acc: 49.6
2:112 -> K: 21 | acc: 48.8
2:113 -> K: 24 | acc: 49.6
2:114 -> K: 21 | acc: 51.2
2:115 -> K: 21 | acc: 52.0
2:116 -> K: 21 | acc: 50.4
2:117 -> K: 23 | acc: 52.0
2:118 -> K: 23 | acc: 52.800000000000004
2:119 -> K: 23 | acc: 50.4
2:120 -> K: 21 | acc: 50.4
2:121 -> K: 20 | acc: 53.6
2:122 -> K: 20 | acc: 53.6
2:123 -> K: 20 | acc: 53.6
2:124 -> K: 20 | acc: 55.2
