1:219 -> K: 21 | acc: 78.4
1:220 -> K: 21 | acc: 78.4
1:221 -> K: 21 | acc: 78.4
1:222 -> K: 21 | acc: 78.4
2:65 -> K: 20 | acc: 63.2
2:66 -> K: 20 | acc: 62.4
2:67 -> K: 20 | acc: 64.0
2:68 -> K: 24 | acc: 67.2
2:69 -> K: 24 | acc: 67.2
2:70 -> K: 24 | acc: 68.0
2:71 -> K: 24 | acc: 68.0
2:72 -> K: 24 | acc: 66.4
2:73 -> K: 24 | acc: 65.60000000000001
2:74 -> K: 24 | acc: 64.8
2:75 -> K: 20 | acc: 64.8
2:76 -> K: 22 | acc: 79.2
3:65 -> K: 22 | acc: 79.2
3:66 -> K: 22 | acc: 76.8
3:67 -> K: 22 | acc: 77.60000000000001
3:68 -> K: 22 | acc: 80.80000000000001
3:69 -> K: 22 | acc: 80.80000000000001
3:70 -> K: 20 | acc: 78.4
3:71 -> K: 21 | acc: 78.4
3:72 -> K: 22 | acc: 78.4
3:73 -> K: 22 | acc: 79.2
3:74 -> K: 22 | acc: 80.0
3:75 -> K: 22 | acc: 79.2
3:76 -> K: 21 | acc: 86.4
3:77 -> K: 21 | acc: 86.4
3:78 -> K: 21 | acc: 86.4
3:79 -> K: 21 | acc: 86.4
3:80 -> K: 21 | acc: 86.4
3:81 -> K: 21 | acc: 86.4
3:82 -> K: 21 | acc: 85.6
3:83 -> K: 20 | acc: 85.6
3:84 -> K: 21 | acc: 86.4
3:85 -> K: 21 | acc: 85.6
3:86 -> K: 22 | acc: 88.0
3:87 -> K: 22 | acc: 88.8
3:88 -> K: 21 | acc: 87.2
3:89 -> K: 23 | acc: 88.0
3:90 -> K: 23 | acc: 88.8
3:91 -> K: 24 | acc: 90.4
3:92 -> K: 21 | acc: 88.8
3:93 -> K: 23 | acc: 88.8
3:94 -> K: 24 | acc: 88.0
3:95 -> K: 24 | acc: 87.2
3:96 -> K: 24 | acc: 88.0
3:97 -> K: 23 | acc: 87.2
3:98 -> K: 22 | acc: 87.2
3:99 -> K: 22 | acc: 87.2
3:100 -> K: 20 | acc: 87.2
3:101 -> K: 22 | acc: 88.8
3:102 -> K: 24 | acc: 89.60000000000001
3:103 -> K: 24 | acc: 88.8
3:104 -> K: 24 | acc: 88.8
3:105 -> K: 24 | acc: 89.60000000000001
3:106 -> K: 24 | acc: 88.8
3:107 -> K: 24 | acc: 88.8
3:108 -> K: 23 | acc: 88.8
3:109 -> K: 20 | acc: 88.8
3:110 -> K: 20 | acc: 89.60000000000001
3:111 -> K: 20 | acc: 89.60000000000001
3:112 -> K: 20 | acc: 89.60000000000001
3:113 -> K: 23 | acc: 88.8
3:114 -> K: 22 | acc: 88.0
3:115 -> K: 21 | acc: 87.2
3:116 -> K: 22 | acc: 88.8
3:117 -> K: 23 | acc: 89.60000000000001
3:118 -> K: 20 | acc: 88.8
3:119 -> K: 22 | acc: 89.60000000000001
3:120 -> K: 20 | acc: 89.60000000000001
3:121 -> K: 20 | acc: 90.4
3:122 -> K: 20 | acc: 90.4
3:123 -> K: 20 | acc: 89.60000000000001
3:124 -> K: 20 | acc: 89.60000000000001
3:125 -> K: 20 | acc: 88.8
3:126 -> K: 20 | acc: 88.8
3:127 -> K: 20 | acc: 88.8
3:128 -> K: 22 | acc: 88.8
3:129 -> K: 21 | acc: 90.4
3:130 -> K: 20 | acc: 90.4
3:131 -> K: 20 | acc: 91.2
3:132 -> K: 20 | acc: 92.0
3:133 -> K: 20 | acc: 91.2
3:134 -> K: 20 | acc: 91.2
3:135 -> K: 20 | acc: 91.2
3:136 -> K: 20 | acc: 91.2
3:137 -> K: 20 | acc: 91.2
3:138 -> K: 20 | acc: 91.2
3:139 -> K: 20 | acc: 91.2
3:140 -> K: 20 | acc: 91.2
3:141 -> K: 20 | acc: 91.2
3:142 -> K: 20 | acc: 91.2
3:143 -> K: 20 | acc: 91.2
4:65 -> K: 20 | acc: 82.39999999999999
