1:214 -> K: 23 | acc: 46.400000000000006
1:215 -> K: 23 | acc: 46.400000000000006
1:216 -> K: 23 | acc: 46.400000000000006
1:217 -> K: 23 | acc: 46.400000000000006
1:218 -> K: 23 | acc: 46.400000000000006
2:65 -> K: 21 | acc: 44.800000000000004
2:66 -> K: 20 | acc: 44.0
2:67 -> K: 23 | acc: 44.0
2:68 -> K: 20 | acc: 44.800000000000004
2:69 -> K: 23 | acc: 43.2
2:70 -> K: 20 | acc: 43.2
2:71 -> K: 24 | acc: 44.0
2:72 -> K: 20 | acc: 44.0
2:73 -> K: 20 | acc: 44.0
2:74 -> K: 20 | acc: 43.2
2:75 -> K: 20 | acc: 44.800000000000004
2:76 -> K: 23 | acc: 53.6
2:77 -> K: 20 | acc: 52.800000000000004
2:78 -> K: 20 | acc: 52.800000000000004
2:79 -> K: 23 | acc: 53.6
2:80 -> K: 23 | acc: 52.800000000000004
2:81 -> K: 23 | acc: 53.6
2:82 -> K: 23 | acc: 52.0
2:83 -> K: 23 | acc: 52.800000000000004
2:84 -> K: 23 | acc: 52.0
2:85 -> K: 23 | acc: 53.6
2:86 -> K: 23 | acc: 56.00000000000001
2:87 -> K: 23 | acc: 55.2
2:88 -> K: 20 | acc: 54.400000000000006
2:89 -> K: 23 | acc: 55.2
2:90 -> K: 20 | acc: 54.400000000000006
2:91 -> K: 22 | acc: 54.400000000000006
2:92 -> K: 22 | acc: 56.00000000000001
2:93 -> K: 23 | acc: 55.2
2:94 -> K: 23 | acc: 54.400000000000006
2:95 -> K: 20 | acc: 53.6
2:96 -> K: 20 | acc: 53.6
2:97 -> K: 23 | acc: 54.400000000000006
2:98 -> K: 23 | acc: 56.8
2:99 -> K: 23 | acc: 57.599999999999994
2:100 -> K: 23 | acc: 54.400000000000006
2:101 -> K: 23 | acc: 55.2
2:102 -> K: 23 | acc: 54.400000000000006
2:103 -> K: 23 | acc: 55.2
2:104 -> K: 23 | acc: 54.400000000000006
2:105 -> K: 23 | acc: 53.6
2:106 -> K: 22 | acc: 53.6
2:107 -> K: 24 | acc: 55.2
2:108 -> K: 23 | acc: 55.2
2:109 -> K: 23 | acc: 55.2
2:110 -> K: 23 | acc: 55.2
2:111 -> K: 22 | acc: 52.800000000000004
2:112 -> K: 22 | acc: 52.800000000000004
2:113 -> K: 20 | acc: 52.800000000000004
2:114 -> K: 20 | acc: 51.2
2:115 -> K: 20 | acc: 52.0
2:116 -> K: 21 | acc: 51.2
2:117 -> K: 21 | acc: 51.2
2:118 -> K: 22 | acc: 53.6
2:119 -> K: 22 | acc: 52.0
2:120 -> K: 22 | acc: 52.0
2:121 -> K: 22 | acc: 56.00000000000001
2:122 -> K: 20 | acc: 54.400000000000006
2:123 -> K: 20 | acc: 54.400000000000006
2:124 -> K: 20 | acc: 56.00000000000001
2:125 -> K: 22 | acc: 56.00000000000001
2:126 -> K: 22 | acc: 55.2
2:127 -> K: 22 | acc: 54.400000000000006
2:128 -> K: 20 | acc: 55.2
2:129 -> K: 23 | acc: 59.199999999999996
2:130 -> K: 23 | acc: 57.599999999999994
2:131 -> K: 23 | acc: 56.8
